Name	Description	Designator	Quantity	Mouser order code	Farnell order code	TME order code	
STM32G441KBT6 	ARM MCU, STM32 Family STM32G4 Series Microcontrollers, ARM Cortex-M4F, 32 bit, 170 MHz, 128 KB	U6	1	511-STM32G441KBT6	3132413		
MAX14930AASE+ 	Digital Isolator, 4 Channel, 38.2 ns, 1.71 V, 5.5 V, NSOIC, 16 Pins	U4, U7	2	700-MAX14930AASE+	3918113		
MAX12930EASA+ 	Digital Isolator, 2 Channel, 23.9 ns, 1.71 V, 5.5 V, NSOIC, 8 Pins	U11	1	700-MAX12930EASA+	3918086		
NCP164CSN330T1G	LDO Voltage Regulators LDO 300mA AD 3.3V	U9	1	863-NCP164CSN330T1G	3367831	NCP164CSN330T1G	
TPS62933DRLR 	Switching Voltage Regulators 3.8-V to 30-V, 3-A, 200-kHz to 2.2-MHz, low-IQ synchronous buck converter in SOT-583 package	U10	1	595-TPS62933DRLR			
BUK6Y24-40PX 	Power MOSFET, P Channel, 40 V, 39 A, 0.019 ohm, LFPAK56, Surface Mount	U3	1	771-BUK6Y24-40PX	3438515	BUK6Y24-40PX	
DRV8243HQRXYRQ1	Motor/Motion/Ignition Controllers & Drivers Automotive 40-V, 12-A H-Bridge driver with integrated current sensing and feedback	U2, U5, U8	3	"

595-DRV8243HQRXYRQ1
"			
Capacitor	Cap, 10 uF, SMD 0805	C1, C2, C3, C4, C7, C8, C9, C10, C17, C18, C19, C20, C27	13	581-08053D106KAT2A	1867958	08053D106KAT2A	
Capacitor	Cap, 100 nF, SMD 0603	C5, C6, C11, C12, C13, C14, C15, C16, C21, C22, C23, C26	12	810-C0603X5R1E104KBB	2528747	C0603X5R1E104KBB	
Capacitor	Cap, 100 uF, SMD 1206	C24	1	581-12066D107MAT2A	3922223		
Capacitor	Cap, 1 uF, SMD 0603	C25, C28	2	581-0603YC105KAT2A	1658870	0603YC105KAT2A	
Capacitor	Cap, 33nF, SMD 0603	C29	1	"581-06035C333J
"	1740618	06035C333JAT2A	
10118193-0001LF 	USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole	J1	1	649-10118193-0001LF	2751675	10118193-0001LF	
FTSH-105-XX-X-DV	Programmer connector	J6	1	200-FTSH10501LDVK			
215079-4	PCB Receptacle, Board-to-Board, 1.27 mm, 2 Rows, 4 Contacts, Through Hole Mount, Micro-MaTch	J11, J12, J13, J15, J17	5	571-215079-4	1772996	7-215079-4	
SRP6060FA-5R6M	Power Inductor (SMD), 5.6 µH, 10 A, Shielded, 10 A, SRP6060FA	L1	1	652-SRP6060FA-5R6M	2901832		
LED	LED, SMD 0603	LED1	1	755-SML-D12P8WT86C	2687486	SML-D12P8WT86C	
Resistor	3.3 kOhm, SMD 0603	R1, R2, R3, R4	4	667-ERA-3AEB332V	1577613	ERA3AEB332V	
Resistor	52.3 kOhm, SMD 0603	R5	1	667-ERJ-3EKF5232V	2059474	ERJ3EKF5232V	
Resistor	10 kOhm, SMD 0603	R6	1	652-CR0603-JW-103ELF	2008360		
CM1223-02SO	Industry First Low Capacitance ESD Protection Arrays with Backdrive Protection, 5-Pin SOT- 23	U1	1	748-CM1223-02SO	3607672	CM1223-02SO	